time,voltage_v,current_ma,power_w,cpu,s_on,br,net_kbps,temp_c
85.50,3.713593,1245.312,4.624581926016,0.7592,1,13,25.15,34.6
86.36,3.671406,2019.375,7.413945491250001,0.7794,1,13,25.57,34.6
87.35,3.7,1685.312,6.2356544,0.7725,1,13,79.26,34.5
88.37,3.703906,1212.187,4.4898267024219995,0.7452,1,13,35.28,34.5
89.39,3.710781,1022.5,3.7942735725,0.7645,1,13,84.17,34.5
90.40,3.680312,1728.125,6.360039174999999,0.7469,1,13,43.95,34.3
91.55,3.712031,1134.687,4.211993319297,0.6023,1,13,18.97,34.3
92.59,3.722031,1096.25,4.08027648375,0.4989,1,13,15.75,34.3
93.57,3.727968,1080.625,4.02853542,0.4745,1,13,13.95,34.3
94.57,3.712187,1163.437,4.318895706718999,0.4932,1,13,21.41,34.3
95.69,3.726875,976.875,3.6406910156250003,0.4824,1,13,14.99,34.3
96.82,3.72875,941.25,3.5096859375,0.5020,1,13,14.05,34.3
97.75,3.731406,816.562,3.0469243461719997,0.4883,1,13,14.38,34.3
98.75,3.723125,831.25,3.0948476562500002,0.4760,1,13,14.81,34.2
99.67,3.720937,1035.0,3.8511697949999997,0.4679,1,13,14.16,34.2
100.79,3.728906,1021.875,3.81047581875,0.4704,1,13,13.89,34.2
101.73,3.700625,1603.437,5.933719048125,0.4583,1,13,13.89,34.1
102.74,3.72875,912.5,3.402484375,0.4960,1,13,13.98,34.1
103.88,3.721562,897.812,3.341263022344,0.5112,1,13,14.18,34.1
104.78,3.730468,775.625,2.8934442425,0.4885,1,13,13.50,34.1
105.78,3.700937,1370.937,5.073751467968999,0.4936,1,13,14.46,34.1
106.95,3.73125,823.125,3.07128515625,0.4758,1,13,12.57,34.1
107.71,3.724687,986.562,3.674634656094,0.4624,1,13,13.07,34.1
108.80,3.721093,1216.875,4.528105044375,0.5090,1,13,12.33,34.1
109.73,3.721875,949.062,3.5322901312499995,0.5121,1,13,13.65,34.1
110.83,3.66125,1939.375,7.10053671875,0.5903,1,13,14.19,34.1
112.05,3.732187,742.812,2.7723132898440004,0.3343,1,13,13.63,34.1
112.90,3.741562,609.062,2.278843234844,0.4003,1,13,14.91,34.0
113.89,3.735312,798.125,2.98124589,0.3964,1,13,14.03,34.0
114.77,3.739687,633.75,2.37002663625,0.4334,1,13,13.24,34.0
115.88,3.728125,908.437,3.386766690625,0.5048,1,13,14.01,34.0
116.87,3.725156,775.937,2.890486371172,0.4914,1,13,12.57,34.0
117.86,3.716875,1115.312,4.145475289999999,0.4735,1,13,13.47,34.0
119.16,3.718125,1019.062,3.7889998987499998,0.4744,1,13,14.40,34.0
119.86,3.722812,849.687,3.163224959844,0.4850,1,13,13.90,34.0
120.86,3.712187,1159.375,4.303816803125001,0.5226,1,13,13.94,34.0
122.00,3.733437,770.937,2.878244720469,0.5327,1,13,13.68,34.0
122.88,3.70875,1116.875,4.142210156250001,0.4974,1,13,13.91,34.0
124.11,3.70625,1267.187,4.6965118187499995,0.6459,1,13,13.89,33.9
124.96,3.706093,1265.312,4.689363946016,0.5890,1,13,12.80,33.9
125.91,3.729375,664.375,2.4777035156250005,0.4694,1,13,33.20,33.9
126.96,3.71625,1118.75,4.157554687499999,0.5145,1,13,35.22,33.8
128.02,3.709218,1041.875,3.8645415037500004,0.6277,1,13,23.26,33.8
129.15,3.725625,924.687,3.445037004375,0.4827,1,13,13.24,33.9
129.93,3.702812,1012.187,3.747938169844,0.5295,1,13,12.26,33.9
131.03,3.717812,1054.062,3.9188043523439995,0.5157,1,13,13.59,33.9
131.94,3.731093,721.562,2.6922149272660003,0.4981,1,13,14.16,33.9
133.09,3.716562,992.812,3.689847352344,0.4760,1,13,13.64,33.9
134.07,3.72625,936.875,3.49103046875,0.5215,1,13,13.35,33.9
135.05,3.731562,837.187,3.1240151960939997,0.5016,1,13,12.79,33.8
136.04,3.71625,1128.75,4.194717187499999,0.4831,1,13,13.53,33.8
