time,voltage_v,current_ma,power_w,cpu,s_on,br,net_kbps,temp_c
75.92,3.720625,499.375,1.857987109375,0.3169,1,20,14.53,33.7
76.84,3.725937,435.625,1.623111305625,0.3399,1,20,20.87,33.7
77.95,3.721406,486.25,1.8095336675,0.3023,1,20,14.52,33.7
78.88,3.725625,352.187,1.312116691875,0.3242,1,20,14.57,33.6
79.92,3.723125,385.937,1.4368916931250002,0.3237,1,20,13.64,33.6
80.93,3.723125,379.687,1.413622161875,0.3121,1,20,14.94,33.6
81.85,3.725781,386.25,1.4390829112499999,0.3248,1,20,19.41,33.5
82.92,3.725625,379.062,1.41224286375,0.3340,1,20,21.19,33.5
84.03,3.721562,465.0,1.73052633,0.3216,1,20,17.10,33.5
84.98,3.722656,453.75,1.68915516,0.3093,1,20,15.39,33.5
85.97,3.722031,391.25,1.45624462875,0.3213,1,20,14.03,33.5
86.90,3.723437,359.687,1.3392718842190001,0.3888,1,20,19.38,33.6
88.03,3.725156,379.062,1.4120650836720001,0.3387,1,20,14.64,33.6
88.97,3.70375,640.312,2.37155557,0.3543,1,20,14.50,33.6
90.03,3.724687,381.875,1.422364848125,0.3130,1,20,14.93,33.4
91.05,3.722968,431.562,1.606691516016,0.3065,1,20,14.18,33.4
92.12,3.724843,402.812,1.500411458516,0.3249,1,20,19.03,33.4
93.03,3.721718,491.562,1.829455143516,0.3428,1,20,20.56,33.4
94.06,3.721562,425.0,1.58166385,0.3183,1,20,16.43,33.4
95.05,3.7225,350.625,1.3052015625000002,0.3372,1,20,14.44,33.4
96.08,3.722031,455.625,1.695850374375,0.3160,1,20,14.42,33.4
97.14,3.721718,429.062,1.596847768516,0.3090,1,20,13.71,33.4
98.05,3.724062,410.312,1.528027327344,0.3417,1,20,25.31,33.3
99.09,3.720625,409.687,1.524291694375,0.3294,1,20,15.39,33.3
100.32,3.726875,332.187,1.2380194256250001,0.3124,1,20,14.69,33.3
101.12,3.721093,399.687,1.4872724978910001,0.3358,1,20,14.43,33.3
102.12,3.722656,436.25,1.6240086800000002,0.3221,1,20,19.54,33.3
103.06,3.718437,437.187,1.625652316719,0.3254,1,20,19.68,33.3
104.16,3.719687,455.312,1.6936181273439999,0.3193,1,20,14.21,33.3
105.26,3.725156,321.875,1.1990345875000001,0.3084,1,20,14.77,33.3
106.28,3.725,377.812,1.4073497000000001,0.3174,1,20,14.18,33.3
107.25,3.723593,406.562,1.5138714172660002,0.3268,1,20,18.11,33.2
108.20,3.720781,615.937,2.291766686797,0.3304,1,20,16.61,33.2
109.12,3.7225,356.25,1.326140625,0.3189,1,20,19.47,33.2
110.18,3.725,374.687,1.395709075,0.3395,1,20,15.28,33.2
111.17,3.719375,439.062,1.63303622625,0.3156,1,20,17.36,33.2
112.25,3.721875,398.125,1.481771484375,0.3215,1,20,22.57,33.1
113.22,3.721718,290.312,1.080459396016,0.3252,1,20,14.28,33.1
114.25,3.724218,418.75,1.5595162875000002,0.3075,1,20,14.39,33.1
115.21,3.7175,494.375,1.8378390624999998,0.3210,1,20,19.48,33.1
116.22,3.720625,399.375,1.485924609375,0.3167,1,20,15.02,33.1
117.27,3.720625,404.375,1.5045277343749999,0.3063,1,20,17.54,33.1
118.49,3.712656,485.312,1.801796508672,0.3127,1,20,15.23,33.1
119.26,3.720625,434.687,1.617307319375,0.3354,1,20,14.27,33.1
120.31,3.722812,422.187,1.571722829844,0.3270,1,20,14.42,33.1
121.26,3.719375,440.312,1.637685445,0.3301,1,20,20.75,33.0
122.22,3.715,541.875,2.013065625,0.3167,1,20,13.61,33.0
123.25,3.719218,356.562,1.326131808516,0.3124,1,20,18.77,33.0
124.48,3.720937,385.937,1.4360472629690002,0.3051,1,20,16.43,33.0
125.59,3.720937,422.187,1.5709312292190003,0.3660,1,20,27.14,33.0
126.32,3.714687,424.062,1.575257598594,0.3328,1,20,14.92,33.0
127.44,3.723437,368.437,1.371851957969,0.3117,1,20,14.28,33.0
128.42,3.719218,471.25,1.7526814825,0.3189,1,20,21.37,33.0
129.30,3.72375,388.75,1.4476078124999998,0.3257,1,20,13.71,32.9
130.35,3.717656,444.687,1.653193293672,0.3222,1,20,20.03,32.9
131.39,3.714531,520.937,1.935036635547,0.3062,1,20,14.88,32.9
132.59,3.719218,473.125,1.7596550162500002,0.3247,1,20,15.22,32.9
133.38,3.718906,463.75,1.7246426575,0.3453,1,20,31.12,32.9
134.35,3.722031,456.562,1.699337917422,0.3530,1,20,16.41,32.9
135.43,3.723906,331.562,1.234705721172,0.3157,1,20,14.70,32.8
136.42,3.721093,386.875,1.439597854375,0.3111,1,20,13.64,32.8
137.39,3.720781,447.5,1.6650494975,0.3396,1,20,12.38,32.8
138.40,3.717187,484.062,1.799348973594,0.3232,1,20,18.73,32.8
139.43,3.720625,378.75,1.40918671875,0.3218,1,20,23.50,32.8
140.45,3.722968,362.812,1.350737466016,0.3266,1,20,18.67,32.8
141.51,3.709218,513.75,1.9056107475000001,0.3365,1,20,14.28,32.8
142.49,3.720625,395.312,1.47080771,0.3581,1,20,14.50,32.8
143.47,3.718281,366.562,1.362980519922,0.3544,1,20,20.57,32.8
144.52,3.717187,422.187,1.5693480279690002,0.3178,1,20,14.89,32.8
145.54,3.722031,376.562,1.401575437422,0.3095,1,20,14.73,32.8
146.46,3.719531,427.812,1.591259996172,0.3017,1,20,14.70,32.7
147.74,3.717343,502.5,1.8679648574999999,0.3587,1,20,14.09,32.7
148.52,3.672968,1328.75,4.88045623,0.4072,1,20,20.90,32.7
149.69,3.708125,694.062,2.57366865375,0.3109,1,20,23.55,32.6
150.56,3.71625,446.25,1.6583765625,0.3167,1,20,15.68,32.6
151.58,3.721718,386.875,1.43983965125,0.3160,1,20,14.52,32.6
152.59,3.724062,392.187,1.460528703594,0.3124,1,20,13.37,32.6
153.61,3.722656,335.937,1.250577888672,0.3170,1,20,18.87,32.6
155.08,3.720625,342.812,1.2754748975,0.3099,1,20,16.28,32.6
155.61,3.715468,511.875,1.9018551824999999,0.3788,1,20,14.52,32.6
156.60,3.720312,414.687,1.5427650223440001,0.3196,1,20,14.47,32.6
157.57,3.718281,362.5,1.3478768625,0.3444,1,20,17.33,32.6
158.65,3.71875,416.875,1.55025390625,0.3108,1,20,22.92,32.6
159.58,3.724531,401.562,1.4956301174220001,0.3098,1,20,19.68,32.6
160.66,3.71875,466.562,1.7350274375,0.3142,1,20,21.16,32.6
161.96,3.717656,418.75,1.55676845,0.2999,1,20,15.77,32.6
162.66,3.716718,394.062,1.4646173285160002,0.3499,1,20,14.90,32.6
163.76,3.722968,394.375,1.4682455049999998,0.3185,1,20,17.33,32.5
164.80,3.721093,423.125,1.574487475625,0.3209,1,20,14.39,32.5
165.65,3.721093,397.187,1.4779697653910002,0.3399,1,20,20.15,32.5
166.80,3.723437,374.062,1.3927962910940002,0.3149,1,20,13.71,32.5
167.78,3.722968,350.0,1.3030388,0.3133,1,20,14.70,32.5
168.86,3.719531,424.687,1.579636461797,0.3047,1,20,13.54,32.5
170.05,3.709375,560.937,2.080725684375,0.3583,1,20,1224.39,32.5
170.84,3.7175,482.187,1.7925301725,0.3725,1,20,1443.99,32.5
